,Action,Pole_Angle,Pole_Angular_Velocity,Q_Value_0,Q_Value_1
0,0,-0.41887903213500977,-4.0,-2.358610153198242,-9.519110679626465
1,0,-0.41887903213500977,-3.919191919191919,-2.101590156555176,-9.188339233398438
2,0,-0.41887903213500977,-3.8383838383838382,-1.841532588005066,-8.853585243225098
3,0,-0.41887903213500977,-3.757575757575758,-1.5814999341964722,-8.518792152404785
4,0,-0.41887903213500977,-3.676767676767677,-1.3218921422958374,-8.183395385742188
5,0,-0.41887903213500977,-3.595959595959596,-1.0582107305526733,-7.844246864318848
6,0,-0.41887903213500977,-3.515151515151515,-0.7920197248458862,-7.5033769607543945
7,0,-0.41887903213500977,-3.4343434343434343,-0.5222300291061401,-7.160998344421387
8,0,-0.41887903213500977,-3.3535353535353534,-0.25230538845062256,-6.818874359130859
9,0,-0.41887903213500977,-3.2727272727272725,0.01761782169342041,-6.476751804351807
10,0,-0.41887903213500977,-3.191919191919192,0.288425087928772,-6.133552074432373
11,0,-0.41887903213500977,-3.111111111111111,0.5635734796524048,-5.784350395202637
12,0,-0.41887903213500977,-3.0303030303030303,0.8473473787307739,-5.425740718841553
13,0,-0.41887903213500977,-2.9494949494949494,1.1319681406021118,-5.066357135772705
14,0,-0.41887903213500977,-2.8686868686868685,1.424042820930481,-4.697324275970459
15,0,-0.41887903213500977,-2.787878787878788,1.7256962060928345,-4.317451000213623
16,0,-0.41887903213500977,-2.7070707070707067,2.0310654640197754,-3.9323902130126953
17,0,-0.41887903213500977,-2.6262626262626263,2.3382315635681152,-3.549191474914551
18,0,-0.41887903213500977,-2.5454545454545454,2.653679847717285,-3.1566758155822754
19,0,-0.41887903213500977,-2.4646464646464645,2.9720234870910645,-2.761146068572998
20,0,-0.41887903213500977,-2.3838383838383836,3.30305814743042,-2.3542213439941406
21,0,-0.41887903213500977,-2.3030303030303028,3.658827304840088,-1.924818515777588
22,0,-0.41887903213500977,-2.2222222222222223,4.033979415893555,-1.475961685180664
23,0,-0.41887903213500977,-2.141414141414141,4.416667461395264,-1.0190515518188477
24,0,-0.41887903213500977,-2.0606060606060606,4.810410022735596,-0.5527892112731934
25,0,-0.41887903213500977,-1.9797979797979797,5.212759494781494,-0.07877448201179504
26,0,-0.41887903213500977,-1.8989898989898988,5.630680561065674,0.41084620356559753
27,0,-0.41887903213500977,-1.818181818181818,6.054697513580322,0.9080791473388672
28,0,-0.41887903213500977,-1.737373737373737,6.49459981918335,1.4247703552246094
29,0,-0.41887903213500977,-1.6565656565656566,6.945676326751709,1.9527063369750977
30,0,-0.41887903213500977,-1.5757575757575757,7.4012627601623535,2.484827995300293
31,0,-0.41887903213500977,-1.4949494949494948,7.874532699584961,3.037112236022949
32,0,-0.41887903213500977,-1.414141414141414,8.356566429138184,3.597914218902588
33,0,-0.41887903213500977,-1.333333333333333,8.849076271057129,4.172447204589844
34,0,-0.41887903213500977,-1.2525252525252522,9.343263626098633,4.749771595001221
35,0,-0.41887903213500977,-1.1717171717171713,9.835762977600098,5.339365005493164
36,0,-0.41887903213500977,-1.0909090909090908,10.33578109741211,5.936488628387451
37,0,-0.41887903213500977,-1.01010101010101,10.819375991821289,6.536903381347656
38,0,-0.41887903213500977,-0.9292929292929291,11.295294761657715,7.138407230377197
39,0,-0.41887903213500977,-0.8484848484848482,11.771211624145508,7.739911079406738
40,0,-0.41887903213500977,-0.7676767676767673,12.249553680419922,8.342743873596191
41,0,-0.41887903213500977,-0.6868686868686864,12.743446350097656,8.9483003616333
42,0,-0.41887903213500977,-0.606060606060606,13.237653732299805,9.55371379852295
43,0,-0.41887903213500977,-0.5252525252525251,13.728229522705078,10.15767765045166
44,0,-0.41887903213500977,-0.4444444444444442,14.161673545837402,10.739326477050781
45,0,-0.41887903213500977,-0.3636363636363633,14.586712837219238,11.319050788879395
46,0,-0.41887903213500977,-0.28282828282828243,14.982381820678711,11.873595237731934
47,0,-0.41887903213500977,-0.20202020202020154,15.363985061645508,12.401012420654297
48,0,-0.41887903213500977,-0.1212121212121211,15.715694427490234,12.90597915649414
49,0,-0.41887903213500977,-0.04040404040404022,16.065752029418945,13.406539916992188
50,0,-0.41887903213500977,0.040404040404040664,16.40965461730957,13.898384094238281
51,0,-0.41887903213500977,0.12121212121212199,16.756542205810547,14.392335891723633
52,0,-0.41887903213500977,0.20202020202020243,17.11737823486328,14.901595115661621
53,0,-0.41887903213500977,0.2828282828282829,17.463964462280273,15.392793655395508
54,0,-0.41887903213500977,0.3636363636363642,17.77681541442871,15.855474472045898
55,0,-0.41887903213500977,0.44444444444444464,18.089496612548828,16.32413101196289
56,0,-0.41887903213500977,0.525252525252526,18.401504516601562,16.802213668823242
57,0,-0.41887903213500977,0.6060606060606064,18.710397720336914,17.25791358947754
58,0,-0.41887903213500977,0.6868686868686869,19.005889892578125,17.679649353027344
59,0,-0.41887903213500977,0.7676767676767682,19.265884399414062,18.04368782043457
60,0,-0.41887903213500977,0.8484848484848486,19.494396209716797,18.379741668701172
61,0,-0.41887903213500977,0.92929292929293,19.701053619384766,18.676658630371094
62,0,-0.41887903213500977,1.0101010101010104,19.884798049926758,18.928911209106445
63,0,-0.41887903213500977,1.0909090909090917,20.061004638671875,19.184534072875977
64,0,-0.41887903213500977,1.1717171717171722,20.229660034179688,19.42960548400879
65,0,-0.41887903213500977,1.2525252525252526,20.389047622680664,19.676076889038086
66,0,-0.41887903213500977,1.333333333333334,20.54056167602539,19.90894317626953
67,0,-0.41887903213500977,1.4141414141414144,20.686717987060547,20.132963180541992
