,Action,Pole_Angle,Pole_Angular_Velocity,Q_Value_0,Q_Value_1
0,0,-0.41887903213500977,-4.0,-14.464384078979492,-24.003942489624023
1,0,-0.41887903213500977,-3.919191919191919,-13.897149085998535,-23.447364807128906
2,0,-0.41887903213500977,-3.8383838383838382,-13.329911231994629,-22.890789031982422
3,0,-0.41887903213500977,-3.757575757575758,-12.76235294342041,-22.333984375
4,0,-0.41887903213500977,-3.676767676767677,-12.187420845031738,-21.771778106689453
5,0,-0.41887903213500977,-3.595959595959596,-11.6124906539917,-21.209575653076172
6,0,-0.41887903213500977,-3.515151515151515,-11.037554740905762,-20.64737319946289
7,0,-0.41887903213500977,-3.4343434343434343,-10.454031944274902,-20.076261520385742
8,0,-0.41887903213500977,-3.3535353535353534,-9.862800598144531,-19.49824333190918
9,0,-0.41887903213500977,-3.2727272727272725,-9.25411319732666,-18.900432586669922
10,0,-0.41887903213500977,-3.191919191919192,-8.639212608337402,-18.298133850097656
11,0,-0.41887903213500977,-3.111111111111111,-8.01220989227295,-17.6829776763916
12,0,-0.41887903213500977,-3.0303030303030303,-7.378522872924805,-17.06188201904297
13,0,-0.41887903213500977,-2.9494949494949494,-6.738235950469971,-16.433074951171875
14,0,-0.41887903213500977,-2.8686868686868685,-6.1008620262146,-15.78540325164795
15,0,-0.41887903213500977,-2.787878787878788,-5.461960315704346,-15.128927230834961
16,0,-0.41887903213500977,-2.7070707070707067,-4.820852756500244,-14.466169357299805
17,0,-0.41887903213500977,-2.6262626262626263,-4.177495002746582,-13.799439430236816
18,0,-0.41887903213500977,-2.5454545454545454,-3.524542808532715,-13.131608009338379
19,0,-0.41887903213500977,-2.4646464646464645,-2.867506504058838,-12.456875801086426
20,0,-0.41887903213500977,-2.3838383838383836,-2.209850311279297,-11.780410766601562
21,0,-0.41887903213500977,-2.3030303030303028,-1.552194595336914,-11.103944778442383
22,0,-0.41887903213500977,-2.2222222222222223,-0.8893904685974121,-10.421940803527832
23,0,-0.41887903213500977,-2.141414141414141,-0.22251561284065247,-9.737274169921875
24,0,-0.41887903213500977,-2.0606060606060606,0.44436022639274597,-9.052611351013184
25,0,-0.41887903213500977,-1.9797979797979797,1.1116552352905273,-8.367413520812988
26,0,-0.41887903213500977,-1.8989898989898988,1.7849316596984863,-7.6751627922058105
27,0,-0.41887903213500977,-1.818181818181818,2.4597277641296387,-6.981206893920898
28,0,-0.41887903213500977,-1.737373737373737,3.119907855987549,-6.280528545379639
29,0,-0.41887903213500977,-1.6565656565656566,3.7542150020599365,-5.56612491607666
30,0,-0.41887903213500977,-1.5757575757575757,4.390762805938721,-4.849899768829346
31,0,-0.41887903213500977,-1.4949494949494948,5.0354695320129395,-4.129117488861084
32,0,-0.41887903213500977,-1.414141414141414,5.682066440582275,-3.4079108238220215
33,0,-0.41887903213500977,-1.333333333333333,6.333896160125732,-2.6836180686950684
34,0,-0.41887903213500977,-1.2525252525252522,6.986355304718018,-1.9589546918869019
35,0,-0.41887903213500977,-1.1717171717171713,7.64082670211792,-1.2343028783798218
36,0,-0.41887903213500977,-1.0909090909090908,8.294988632202148,-0.5084718465805054
37,0,-0.41887903213500977,-1.01010101010101,8.949052810668945,0.21748504042625427
38,0,-0.41887903213500977,-0.9292929292929291,9.59267520904541,0.9425927400588989
39,0,-0.41887903213500977,-0.8484848484848482,10.154247283935547,1.6681691408157349
40,0,-0.41887903213500977,-0.7676767676767673,10.661303520202637,2.3943986892700195
41,0,-0.41887903213500977,-0.6868686868686864,11.161438941955566,3.1213936805725098
42,0,-0.41887903213500977,-0.606060606060606,11.661574363708496,3.848388671875
43,0,-0.41887903213500977,-0.5252525252525251,12.161709785461426,4.57538366317749
44,0,-0.41887903213500977,-0.4444444444444442,12.66089916229248,5.298837661743164
45,0,-0.41887903213500977,-0.3636363636363633,13.15577220916748,6.010056018829346
46,0,-0.41887903213500977,-0.28282828282828243,13.642171859741211,6.6855387687683105
47,0,-0.41887903213500977,-0.20202020202020154,14.111169815063477,7.334330081939697
48,0,-0.41887903213500977,-0.1212121212121211,14.536100387573242,7.936404705047607
49,0,-0.41887903213500977,-0.04040404040404022,14.951027870178223,8.517988204956055
50,0,-0.41887903213500977,0.040404040404040664,15.363746643066406,9.089461326599121
51,0,-0.41887903213500977,0.12121212121212199,15.78361988067627,9.654851913452148
52,0,-0.41887903213500977,0.20202020202020243,16.203737258911133,10.216512680053711
53,0,-0.41887903213500977,0.2828282828282829,16.53648567199707,10.760279655456543
54,0,-0.41887903213500977,0.3636363636363642,16.866878509521484,11.30271053314209
55,0,-0.41887903213500977,0.44444444444444464,17.19869041442871,11.841169357299805
56,0,-0.41887903213500977,0.525252525252526,17.52998924255371,12.378870010375977
57,0,-0.41887903213500977,0.6060606060606064,17.861520767211914,12.916793823242188
58,0,-0.41887903213500977,0.6868686868686869,18.19645881652832,13.459101676940918
59,0,-0.41887903213500977,0.7676767676767682,18.543851852416992,14.011918067932129
60,0,-0.41887903213500977,0.8484848484848486,18.91033363342285,14.57506275177002
61,0,-0.41887903213500977,0.92929292929293,19.28135871887207,15.109701156616211
62,0,-0.41887903213500977,1.0101010101010104,19.63567543029785,15.622856140136719
63,0,-0.41887903213500977,1.0909090909090917,19.97783660888672,16.124961853027344
64,0,-0.41887903213500977,1.1717171717171722,20.31254768371582,16.61345672607422
65,0,-0.41887903213500977,1.2525252525252526,20.61372184753418,17.03202247619629
66,0,-0.41887903213500977,1.333333333333334,20.903335571289062,17.425039291381836
67,0,-0.41887903213500977,1.4141414141414144,21.18947982788086,17.791004180908203
